source_id,source_name,author,title,description,url,url_to_image,published_at,content,top_article,engagement_reaction_count,engagement_comment_count,engagement_share_count,engagement_comment_plugin_count
the-irish-times,The Irish Times,Barry Roche,Douglas Village shopping centre likely to be closed until summer 2020,Demolition work due on section of multistory car park damaged in recent fire,https://www.irishtimes.com/news/ireland/irish-news/douglas-village-shopping-centre-likely-to-be-closed-until-summer-2020-1.4019020,https://www.irishtimes.com/image-creator/?id=1.4019019&origw=960,2019-09-15T18:47:23Z,"ACork shopping centre which was forced to close after a fire in its multistorey car park caused upwards of 10 million worth of damage may not re-open until next summer, shopping centre management have advised tenants.
Douglas Village Shopping Centre was forc… [+3469 chars]",0.0,0.0,0.0,0.0,0.0
the-new-york-times,The New York Times,JoAnna Klein,"There Are Parasitic Wasps, and Then There’s the Crypt-Keeper",Popping out of the heads of its hosts seemed strange enough. Then scientists discovered something even stranger.,https://www.nytimes.com/2019/09/27/science/crypt-keeper-wasps-parasitic.html,https://static01.nyt.com/images/2019/09/27/science/27TB-WASP2/27TB-WASP2-facebookJumbo.jpg,2019-09-27T18:24:21Z,"To deposit its eggs, the parasitic oak gall wasp pierces a leaf or stem with its ovipositor, a long tubelike organ that would be a stinger if this wasp were the kind that stings. The plant puffs and swells, forming tumor-like growths called galls. These serve… [+984 chars]",0.0,0.0,0.0,10.0,0.0
reuters,Reuters,Reuters Editorial,"With election call imminent, Canada's Trudeau visits storm-hit region","Canadian Prime Minister Justin Trudeau took a break from election planning on Tuesday to visit the Atlantic province of Nova Scotia, where 100,000 people are still without power after Storm Dorian hit on Saturday.",https://ca.reuters.com/article/domesticNews/idCAKCN1VV21C-OCADN,https://s3.reutersmedia.net/resources/r/?m=02&d=20190910&t=2&i=1428370075&w=1200&r=LYNXNPEF891GP-OCADN,2019-09-10T15:44:03Z,"OTTAWA (Reuters) - Canadian Prime Minister Justin Trudeau took a break from election planning on Tuesday to visit the Atlantic province of Nova Scotia, where 100,000 people are still without power after Storm Dorian hit on Saturday. 
Trudeau, who has been ab… [+1045 chars]",0.0,0.0,0.0,0.0,0.0
al-jazeera-english,Al Jazeera English,Scott Heidler,US-China trade war: Supply chains affected in Thailand,Both sides have increased and added tariffs in recent weeks - affecting global markets and supply chains.,https://www.aljazeera.com/news/2019/09/us-china-trade-war-supply-chains-affected-thailand-190907114237051.html,https://www.aljazeera.com/mritems/images/2019/9/7/665003303001_6084280353001_6084275549001-th.jpg,2019-09-07T11:42:37Z,"For countries like Thailand, its largest export market is China. The economy here relies heavily on its big neighbour to the north. So businesses could be forced to recalibrate their supply chains.
White House Economic Adviser Larry Kudlow warns that the tra… [+178 chars]",0.0,0.0,0.0,10.0,0.0
cbs-news,CBS News,CBS/AP,9/11 Victims Compensation Fund is running out of money,Nearly $5 billion in benefits have been awarded out of the $7.3 billion fund,https://www.cbsnews.com/news/911-victims-compensation-fund-is-running-out-of-money/,https://cbsnews2.cbsistatic.com/hub/i/r/2012/09/12/eb6170f4-a644-11e2-a3f0-029118418759/thumbnail/1200x630/95db30b6847806cf0fd699cb8ab7e4f4/15-Unforgettable911Attacks.jpg,2019-09-10T17:48:01+00:00,"The 9/11 Victims Compensation Fund said Friday that it has ""insufficient money"" to continue paying out current and projected claims and will have to drastically reduce future payments. Nearly 40,000 people have applied to the federal fund for people with illn… [+3574 chars]",1.0,857.0,531.0,253.0,0.0
cbs-news,CBS News,CBS News,"Hurricane Dorian aftermath: As storm survivors seek to evacuate Bahamas, a few opt to stay put","The death toll has risen to 45, as officials continue to comb through miles of debris, trying to account for hundreds of missing",https://www.cbsnews.com/news/hurricane-dorian-survivors-seek-to-evacuate-bahamas-a-few-opt-to-stay-put/,https://cbsnews2.cbsistatic.com/hub/i/r/2019/09/09/92a020d9-e374-4f0c-9029-76333a0351b0/thumbnail/1200x630/b90d6db013cec222e2e31ccb0717e3aa/0909-ctm-dorianbahamaslatest-barnett-1929575-640x360.jpg,2019-09-09T12:29:34Z,"In what is a growing humanitarian crisis, the United Nations says some 70,000 people in the Bahamas are in need of food and shelter, after Hurricane Dorian slammed the islands. The death toll has risen to 45, as officials continue to comb through miles of deb… [+4268 chars]",0.0,78.0,56.0,28.0,0.0
the-irish-times,The Irish Times,Sean Moncrieff,Seán Moncrieff: Is originality dead? Perhaps it never existed in the first place,"It sometimes feels like we’ve run out of stories, and the only option is to return to what was said before",https://www.irishtimes.com/life-and-style/people/se%C3%A1n-moncrieff-is-originality-dead-perhaps-it-never-existed-in-the-first-place-1.3998706,https://www.irishtimes.com/image-creator/?id=1.3998704&origw=1440,2019-09-07T05:00:00Z,"Myself, Herself and Daughter Number Four went to see the Lion King. We all thought it was dreadful. It apes (pun!) the original film but contains additional scenes that explain what is patently obvious, along with a few glib eco-friendly sentiments. And the h… [+3336 chars]",0.0,0.0,0.0,2.0,0.0
the-irish-times,The Irish Times,Peter McGuire,Hot school meals for all a solid start in battle against child poverty,It was heralded as a long-overdue opportunity to help children and struggling families. A Government-funded pilot scheme to provide hot meals to school children was supposed to bring Ireland into line with other European countries. But records released under …,https://www.irishtimes.com/news/social-affairs/hot-school-meals-for-all-a-solid-start-in-battle-against-child-poverty-1.4014899,https://www.irishtimes.com/polopoly_fs/1.4014898.1568214726!/image/image.jpg,2019-09-14T05:00:00Z,"It was heralded as a long-overdue opportunity to help children and struggling families. A Government-funded pilot scheme to provide hot meals to school children was supposed to bring Ireland into line with other European countries.
But records released under… [+10068 chars]",0.0,24.0,0.0,11.0,0.0
bbc-news,BBC News,https://www.facebook.com/bbcnews,Jeremy Corbyn 'daunted' by prospect of becoming prime minister,But the Labour leader says he is ready to take on the job of leading the UK if he wins an election.,https://www.bbc.co.uk/news/uk-politics-49753415,https://ichef.bbci.co.uk/images/ic/1024x576/p07ns7y7.jpg,2019-09-19T16:00:06Z,"Media captionJeremy Corbyn: Labour would deliver hope for young people in society
Jeremy Corbyn has said he is daunted by the prospect of being the next prime minister, but says he would be ready to take on the role if he won an election.
In a BBC interview… [+2927 chars]",0.0,20.0,8.0,55.0,0.0
cnn,CNN,"Meg Wagner and Artemis Moshtaghian, CNN",These satellite images show Grand Bahama before and after Dorian's wrath,A striking satellite image of Grand Bahama Island shows vast areas of the island under water after Hurricane Dorian passed through the region on Monday.,http://us.cnn.com/2019/09/03/weather/hurricane-dorian-bahamas-before-and-after-wxc-trnd/index.html,https://cdn.cnn.com/cnnnext/dam/assets/190903095452-bahamas-after-super-tease.jpg,2019-09-03T14:24:48Z,"By Meg Wagner and Artemis Moshtaghian, CNN
Updated 10:24 AM ET, Tue September 3, 2019
Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
(CNN)A striking satellite image of Grand Bahama Island shows vast areas of the i… [+405 chars]",1.0,0.0,0.0,0.0,0.0
